Tera Type,Atk 1,Atk 2,GOOD,Ok,Bad,Weak To
Ground,Rock,Flying,,Water,"Flying, Bug, Fire, Ice, Fighting, Grass","Water, Grass, Ice"
Ground,Rock,Poison,,Water,"Flying, Bug, Fire, Ice, Grass, Fairy","Water, Grass, Ice"
Ground,Rock,Ground,Grass,Water,"Flying, Bug, Fire, Ice, Poison, Rock, Steel, Electric","Water, Grass, Ice"
Ground,Rock,,,"Water, Grass","Flying, Bug, Fire, Ice","Water, Grass, Ice"
Ground,Rock,Bug,,Water,"Flying, Bug, Fire, Ice, Grass, Psychic, Dark","Water, Grass, Ice"
Ground,Rock,Ghost,,"Water, Grass","Flying, Bug, Fire, Ice, Ghost, Psychic","Water, Grass, Ice"
Ground,Rock,Steel,Water,Grass,"Flying, Bug, Fire, Ice, Rock, Fairy","Water, Grass, Ice"
Ground,Rock,Fire,Water,,"Flying, Bug, Fire, Ice, Steel, Grass","Water, Grass, Ice"
Ground,Rock,Water,"Water, Grass",,"Flying, Bug, Fire, Ice, Ground, Rock","Water, Grass, Ice"
Ground,Rock,Grass,Grass,,"Flying, Bug, Fire, Ice, Ground, Rock, Water","Water, Grass, Ice"
Ground,Rock,Electric,Grass,,"Flying, Bug, Fire, Ice, Water","Water, Grass, Ice"
Ground,Rock,Psychic,,"Water, Grass","Flying, Bug, Fire, Ice, Fighting, Poison","Water, Grass, Ice"
Ground,Rock,Ice,Water,,"Flying, Bug, Fire, Ice, Ground, Grass, Dragon","Water, Grass, Ice"
Ground,Rock,Dragon,,"Water, Grass","Flying, Bug, Fire, Ice, Dragon","Water, Grass, Ice"
Ground,Rock,Dark,,"Water, Grass","Flying, Bug, Fire, Ice, Ghost, Psychic","Water, Grass, Ice"
Ground,Rock,Fairy,,"Water, Grass","Flying, Bug, Fire, Ice, Fighting, Dragon, Dark","Water, Grass, Ice"
Ground,Bug,Normal,,"Water, Ice","Grass, Psychic, Dark","Water, Grass, Ice"
Ground,Bug,Fighting,,Water,"Grass, Psychic, Dark, Normal, Rock, Steel, Ice","Water, Grass, Ice"
Ground,Bug,Flying,,"Water, Ice","Grass, Psychic, Dark, Fighting, Bug","Water, Grass, Ice"
Ground,Bug,Poison,,"Water, Ice","Grass, Psychic, Dark, Fairy","Water, Grass, Ice"
Ground,Bug,Ground,,"Water, Ice","Grass, Psychic, Dark, Poison, Rock, Steel, Fire, Electric","Water, Grass, Ice"
Ground,Bug,Rock,,Water,"Grass, Psychic, Dark, Flying, Bug, Fire, Ice","Water, Grass, Ice"
Ground,Bug,,,"Water, Ice","Grass, Psychic, Dark","Water, Grass, Ice"
Ground,Bug,Ghost,,"Water, Ice","Grass, Psychic, Dark, Ghost","Water, Grass, Ice"
Ground,Bug,Steel,Water,,"Grass, Psychic, Dark, Rock, Ice, Fairy","Water, Grass, Ice"
Ground,Bug,Fire,Water,,"Grass, Psychic, Dark, Bug, Steel, Ice","Water, Grass, Ice"
Ground,Bug,Water,Water,Ice,"Grass, Psychic, Dark, Ground, Rock, Fire","Water, Grass, Ice"
Ground,Bug,Grass,,Ice,"Grass, Psychic, Dark, Ground, Rock, Water","Water, Grass, Ice"
Ground,Bug,Electric,,Ice,"Grass, Psychic, Dark, Flying, Water","Water, Grass, Ice"
Ground,Bug,Psychic,,"Water, Ice","Grass, Psychic, Dark, Fighting, Poison","Water, Grass, Ice"
Ground,Bug,Ice,"Water, Ice",,"Grass, Psychic, Dark, Flying, Ground, Dragon","Water, Grass, Ice"
Ground,Bug,Dragon,,"Water, Ice","Grass, Psychic, Dark, Dragon","Water, Grass, Ice"
Ground,Bug,Dark,,"Water, Ice","Grass, Psychic, Dark, Ghost","Water, Grass, Ice"
Ground,Bug,Fairy,,"Water, Ice","Grass, Psychic, Dark, Fighting, Dragon","Water, Grass, Ice"
Ground,Ghost,Normal,,"Water, Grass, Ice","Ghost, Psychic","Water, Grass, Ice"
Ground,Ghost,Fighting,,"Water, Grass","Ghost, Psychic, Normal, Rock, Steel, Ice, Dark","Water, Grass, Ice"
Ground,Ghost,Flying,,"Water, Ice","Ghost, Psychic, Fighting, Bug, Grass","Water, Grass, Ice"
Ground,Ghost,Poison,,"Water, Ice","Ghost, Psychic, Grass, Fairy","Water, Grass, Ice"
Ground,Ghost,Ground,Grass,"Water, Ice","Ghost, Psychic, Poison, Rock, Steel, Fire, Electric","Water, Grass, Ice"
Ground,Ghost,Rock,,"Water, Grass","Ghost, Psychic, Flying, Bug, Fire, Ice","Water, Grass, Ice"
Ground,Ghost,Bug,,"Water, Ice","Ghost, Psychic, Grass, Dark","Water, Grass, Ice"
Ground,Ghost,,,"Water, Grass, Ice","Ghost, Psychic","Water, Grass, Ice"
Ground,Ghost,Steel,Water,Grass,"Ghost, Psychic, Rock, Ice, Fairy","Water, Grass, Ice"
Ground,Ghost,Fire,Water,,"Ghost, Psychic, Bug, Steel, Grass, Ice","Water, Grass, Ice"
Ground,Ghost,Water,"Water, Grass",Ice,"Ghost, Psychic, Ground, Rock, Fire","Water, Grass, Ice"
Ground,Ghost,Grass,Grass,Ice,"Ghost, Psychic, Ground, Rock, Water","Water, Grass, Ice"
Ground,Ghost,Electric,Grass,Ice,"Ghost, Psychic, Flying, Water","Water, Grass, Ice"
Ground,Ghost,Psychic,,"Water, Grass, Ice","Ghost, Psychic, Fighting, Poison","Water, Grass, Ice"
Ground,Ghost,Ice,"Water, Ice",,"Ghost, Psychic, Flying, Ground, Grass, Dragon","Water, Grass, Ice"
Ground,Ghost,Dragon,,"Water, Grass, Ice","Ghost, Psychic, Dragon","Water, Grass, Ice"
Ground,Ghost,Dark,,"Water, Grass, Ice","Ghost, Psychic","Water, Grass, Ice"
Ground,Ghost,Fairy,,"Water, Grass, Ice","Ghost, Psychic, Fighting, Dragon, Dark","Water, Grass, Ice"
Ground,Steel,Normal,Water,Grass,"Rock, Ice, Fairy","Water, Grass, Ice"
Ground,Steel,Fighting,Water,Grass,"Rock, Ice, Fairy, Normal, Steel, Dark","Water, Grass, Ice"
Ground,Steel,Flying,Water,,"Rock, Ice, Fairy, Fighting, Bug, Grass","Water, Grass, Ice"
Ground,Steel,Poison,Water,,"Rock, Ice, Fairy, Grass","Water, Grass, Ice"
Ground,Steel,Ground,"Water, Grass",,"Rock, Ice, Fairy, Poison, Steel, Fire, Electric","Water, Grass, Ice"
Ground,Steel,Rock,Water,Grass,"Rock, Ice, Fairy, Flying, Bug, Fire","Water, Grass, Ice"
Ground,Steel,Bug,Water,,"Rock, Ice, Fairy, Grass, Psychic, Dark","Water, Grass, Ice"
Ground,Steel,Ghost,Water,Grass,"Rock, Ice, Fairy, Ghost, Psychic","Water, Grass, Ice"
Ground,Steel,,Water,Grass,"Rock, Ice, Fairy","Water, Grass, Ice"
Ground,Steel,Fire,Water,,"Rock, Ice, Fairy, Bug, Steel, Grass","Water, Grass, Ice"
Ground,Steel,Water,"Water, Grass",,"Rock, Ice, Fairy, Ground, Fire","Water, Grass, Ice"
Ground,Steel,Grass,Grass,,"Rock, Ice, Fairy, Ground, Water","Water, Grass, Ice"
Ground,Steel,Electric,Grass,,"Rock, Ice, Fairy, Flying, Water","Water, Grass, Ice"
Ground,Steel,Psychic,Water,Grass,"Rock, Ice, Fairy, Fighting, Poison","Water, Grass, Ice"
Ground,Steel,Ice,Water,,"Rock, Ice, Fairy, Flying, Ground, Grass, Dragon","Water, Grass, Ice"
Ground,Steel,Dragon,Water,Grass,"Rock, Ice, Fairy, Dragon","Water, Grass, Ice"
Ground,Steel,Dark,Water,Grass,"Rock, Ice, Fairy, Ghost, Psychic","Water, Grass, Ice"
Ground,Steel,Fairy,Water,Grass,"Rock, Ice, Fairy, Fighting, Dragon, Dark","Water, Grass, Ice"
Ground,Fire,Normal,Water,,"Bug, Steel, Grass, Ice","Water, Grass, Ice"
Ground,Fire,Fighting,Water,,"Bug, Steel, Grass, Ice, Normal, Rock, Dark","Water, Grass, Ice"
Ground,Fire,Flying,Water,,"Bug, Steel, Grass, Ice, Fighting","Water, Grass, Ice"
Ground,Fire,Poison,Water,,"Bug, Steel, Grass, Ice, Fairy","Water, Grass, Ice"
Ground,Fire,Ground,Water,,"Bug, Steel, Grass, Ice, Poison, Rock, Fire, Electric","Water, Grass, Ice"
Ground,Fire,Rock,Water,,"Bug, Steel, Grass, Ice, Flying, Fire","Water, Grass, Ice"
Ground,Fire,Bug,Water,,"Bug, Steel, Grass, Ice, Psychic, Dark","Water, Grass, Ice"
Ground,Fire,Ghost,Water,,"Bug, Steel, Grass, Ice, Ghost, Psychic","Water, Grass, Ice"
Ground,Fire,Steel,Water,,"Bug, Steel, Grass, Ice, Rock, Fairy","Water, Grass, Ice"
Ground,Fire,,Water,,"Bug, Steel, Grass, Ice","Water, Grass, Ice"
Ground,Fire,Water,Water,,"Bug, Steel, Grass, Ice, Ground, Rock, Fire","Water, Grass, Ice"
Ground,Fire,Grass,,,"Bug, Steel, Grass, Ice, Ground, Rock, Water","Water, Grass, Ice"
Ground,Fire,Electric,,,"Bug, Steel, Grass, Ice, Flying, Water","Water, Grass, Ice"
Ground,Fire,Psychic,Water,,"Bug, Steel, Grass, Ice, Fighting, Poison","Water, Grass, Ice"
Ground,Fire,Ice,Water,,"Bug, Steel, Grass, Ice, Flying, Ground, Dragon","Water, Grass, Ice"
Ground,Fire,Dragon,Water,,"Bug, Steel, Grass, Ice, Dragon","Water, Grass, Ice"
Ground,Fire,Dark,Water,,"Bug, Steel, Grass, Ice, Ghost, Psychic","Water, Grass, Ice"
Ground,Fire,Fairy,Water,,"Bug, Steel, Grass, Ice, Fighting, Dragon, Dark","Water, Grass, Ice"
Ground,Water,Normal,"Water, Grass",Ice,"Ground, Rock, Fire","Water, Grass, Ice"
Ground,Water,Fighting,"Water, Grass",,"Ground, Rock, Fire, Normal, Steel, Ice, Dark","Water, Grass, Ice"
Ground,Water,Flying,Water,Ice,"Ground, Rock, Fire, Fighting, Bug, Grass","Water, Grass, Ice"
Ground,Water,Poison,Water,Ice,"Ground, Rock, Fire, Grass, Fairy","Water, Grass, Ice"
Ground,Water,Ground,"Water, Grass",Ice,"Ground, Rock, Fire, Poison, Steel, Electric","Water, Grass, Ice"
Ground,Water,Rock,"Water, Grass",,"Ground, Rock, Fire, Flying, Bug, Ice","Water, Grass, Ice"
Ground,Water,Bug,Water,Ice,"Ground, Rock, Fire, Grass, Psychic, Dark","Water, Grass, Ice"
Ground,Water,Ghost,"Water, Grass",Ice,"Ground, Rock, Fire, Ghost, Psychic","Water, Grass, Ice"
Ground,Water,Steel,"Water, Grass",,"Ground, Rock, Fire, Ice, Fairy","Water, Grass, Ice"
Ground,Water,Fire,Water,,"Ground, Rock, Fire, Bug, Steel, Grass, Ice","Water, Grass, Ice"
Ground,Water,,"Water, Grass",Ice,"Ground, Rock, Fire","Water, Grass, Ice"
Ground,Water,Grass,Grass,Ice,"Ground, Rock, Fire, Water","Water, Grass, Ice"
Ground,Water,Electric,Grass,Ice,"Ground, Rock, Fire, Flying, Water","Water, Grass, Ice"
Ground,Water,Psychic,"Water, Grass",Ice,"Ground, Rock, Fire, Fighting, Poison","Water, Grass, Ice"
Ground,Water,Ice,"Water, Ice",,"Ground, Rock, Fire, Flying, Grass, Dragon","Water, Grass, Ice"
Ground,Water,Dragon,"Water, Grass",Ice,"Ground, Rock, Fire, Dragon","Water, Grass, Ice"
Ground,Water,Dark,"Water, Grass",Ice,"Ground, Rock, Fire, Ghost, Psychic","Water, Grass, Ice"
Ground,Water,Fairy,"Water, Grass",Ice,"Ground, Rock, Fire, Fighting, Dragon, Dark","Water, Grass, Ice"
Ground,Grass,Normal,Grass,Ice,"Ground, Rock, Water","Water, Grass, Ice"
Ground,Grass,Fighting,Grass,,"Ground, Rock, Water, Normal, Steel, Ice, Dark","Water, Grass, Ice"
Ground,Grass,Flying,,Ice,"Ground, Rock, Water, Fighting, Bug, Grass","Water, Grass, Ice"
Ground,Grass,Poison,,Ice,"Ground, Rock, Water, Grass, Fairy","Water, Grass, Ice"
Ground,Grass,Ground,Grass,Ice,"Ground, Rock, Water, Poison, Steel, Fire, Electric","Water, Grass, Ice"
Ground,Grass,Rock,Grass,,"Ground, Rock, Water, Flying, Bug, Fire, Ice","Water, Grass, Ice"
Ground,Grass,Bug,,Ice,"Ground, Rock, Water, Grass, Psychic, Dark","Water, Grass, Ice"
Ground,Grass,Ghost,Grass,Ice,"Ground, Rock, Water, Ghost, Psychic","Water, Grass, Ice"
Ground,Grass,Steel,Grass,,"Ground, Rock, Water, Ice, Fairy","Water, Grass, Ice"
Ground,Grass,Fire,,,"Ground, Rock, Water, Bug, Steel, Grass, Ice","Water, Grass, Ice"
Ground,Grass,Water,Grass,Ice,"Ground, Rock, Water, Fire","Water, Grass, Ice"
Ground,Grass,,Grass,Ice,"Ground, Rock, Water","Water, Grass, Ice"
Ground,Grass,Electric,Grass,Ice,"Ground, Rock, Water, Flying","Water, Grass, Ice"
Ground,Grass,Psychic,Grass,Ice,"Ground, Rock, Water, Fighting, Poison","Water, Grass, Ice"
Ground,Grass,Ice,Ice,,"Ground, Rock, Water, Flying, Grass, Dragon","Water, Grass, Ice"
Ground,Grass,Dragon,Grass,Ice,"Ground, Rock, Water, Dragon","Water, Grass, Ice"
Ground,Grass,Dark,Grass,Ice,"Ground, Rock, Water, Ghost, Psychic","Water, Grass, Ice"
Ground,Grass,Fairy,Grass,Ice,"Ground, Rock, Water, Fighting, Dragon, Dark","Water, Grass, Ice"
Ground,Electric,Normal,Grass,Ice,"Flying, Water","Water, Grass, Ice"
Ground,Electric,Fighting,Grass,,"Flying, Water, Normal, Rock, Steel, Ice, Dark","Water, Grass, Ice"
Ground,Electric,Flying,,Ice,"Flying, Water, Fighting, Bug, Grass","Water, Grass, Ice"
Ground,Electric,Poison,,Ice,"Flying, Water, Grass, Fairy","Water, Grass, Ice"
Ground,Electric,Ground,Grass,Ice,"Flying, Water, Poison, Rock, Steel, Fire, Electric","Water, Grass, Ice"
Ground,Electric,Rock,Grass,,"Flying, Water, Bug, Fire, Ice","Water, Grass, Ice"
Ground,Electric,Bug,,Ice,"Flying, Water, Grass, Psychic, Dark","Water, Grass, Ice"
Ground,Electric,Ghost,Grass,Ice,"Flying, Water, Ghost, Psychic","Water, Grass, Ice"
Ground,Electric,Steel,Grass,,"Flying, Water, Rock, Ice, Fairy","Water, Grass, Ice"
Ground,Electric,Fire,,,"Flying, Water, Bug, Steel, Grass, Ice","Water, Grass, Ice"
Ground,Electric,Water,Grass,Ice,"Flying, Water, Ground, Rock, Fire","Water, Grass, Ice"
Ground,Electric,Grass,Grass,Ice,"Flying, Water, Ground, Rock","Water, Grass, Ice"
Ground,Electric,,Grass,Ice,"Flying, Water","Water, Grass, Ice"
Ground,Electric,Psychic,Grass,Ice,"Flying, Water, Fighting, Poison","Water, Grass, Ice"
Ground,Electric,Ice,Ice,,"Flying, Water, Ground, Grass, Dragon","Water, Grass, Ice"
Ground,Electric,Dragon,Grass,Ice,"Flying, Water, Dragon","Water, Grass, Ice"
Ground,Electric,Dark,Grass,Ice,"Flying, Water, Ghost, Psychic","Water, Grass, Ice"
Ground,Electric,Fairy,Grass,Ice,"Flying, Water, Fighting, Dragon, Dark","Water, Grass, Ice"
Ground,Psychic,Normal,,"Water, Grass, Ice","Fighting, Poison","Water, Grass, Ice"
Ground,Psychic,Fighting,,"Water, Grass","Fighting, Poison, Normal, Rock, Steel, Ice, Dark","Water, Grass, Ice"
Ground,Psychic,Flying,,"Water, Ice","Fighting, Poison, Bug, Grass","Water, Grass, Ice"
Ground,Psychic,Poison,,"Water, Ice","Fighting, Poison, Grass, Fairy","Water, Grass, Ice"
Ground,Psychic,Ground,Grass,"Water, Ice","Fighting, Poison, Rock, Steel, Fire, Electric","Water, Grass, Ice"
Ground,Psychic,Rock,,"Water, Grass","Fighting, Poison, Flying, Bug, Fire, Ice","Water, Grass, Ice"
Ground,Psychic,Bug,,"Water, Ice","Fighting, Poison, Grass, Psychic, Dark","Water, Grass, Ice"
Ground,Psychic,Ghost,,"Water, Grass, Ice","Fighting, Poison, Ghost, Psychic","Water, Grass, Ice"
Ground,Psychic,Steel,Water,Grass,"Fighting, Poison, Rock, Ice, Fairy","Water, Grass, Ice"
Ground,Psychic,Fire,Water,,"Fighting, Poison, Bug, Steel, Grass, Ice","Water, Grass, Ice"
Ground,Psychic,Water,"Water, Grass",Ice,"Fighting, Poison, Ground, Rock, Fire","Water, Grass, Ice"
Ground,Psychic,Grass,Grass,Ice,"Fighting, Poison, Ground, Rock, Water","Water, Grass, Ice"
Ground,Psychic,Electric,Grass,Ice,"Fighting, Poison, Flying, Water","Water, Grass, Ice"
Ground,Psychic,,,"Water, Grass, Ice","Fighting, Poison","Water, Grass, Ice"
Ground,Psychic,Ice,"Water, Ice",,"Fighting, Poison, Flying, Ground, Grass, Dragon","Water, Grass, Ice"
Ground,Psychic,Dragon,,"Water, Grass, Ice","Fighting, Poison, Dragon","Water, Grass, Ice"
Ground,Psychic,Dark,,"Water, Grass, Ice","Fighting, Poison, Ghost, Psychic","Water, Grass, Ice"
Ground,Psychic,Fairy,,"Water, Grass, Ice","Fighting, Poison, Dragon, Dark","Water, Grass, Ice"
Ground,Ice,Normal,"Water, Ice",,"Flying, Ground, Grass, Dragon","Water, Grass, Ice"
Ground,Ice,Fighting,Water,,"Flying, Ground, Grass, Dragon, Normal, Rock, Steel, Ice, Dark","Water, Grass, Ice"
Ground,Ice,Flying,"Water, Ice",,"Flying, Ground, Grass, Dragon, Fighting, Bug","Water, Grass, Ice"
Ground,Ice,Poison,"Water, Ice",,"Flying, Ground, Grass, Dragon, Fairy","Water, Grass, Ice"
Ground,Ice,Ground,"Water, Ice",,"Flying, Ground, Grass, Dragon, Poison, Rock, Steel, Fire, Electric","Water, Grass, Ice"
Ground,Ice,Rock,Water,,"Flying, Ground, Grass, Dragon, Bug, Fire, Ice","Water, Grass, Ice"
Ground,Ice,Bug,"Water, Ice",,"Flying, Ground, Grass, Dragon, Psychic, Dark","Water, Grass, Ice"
Ground,Ice,Ghost,"Water, Ice",,"Flying, Ground, Grass, Dragon, Ghost, Psychic","Water, Grass, Ice"
Ground,Ice,Steel,Water,,"Flying, Ground, Grass, Dragon, Rock, Ice, Fairy","Water, Grass, Ice"
Ground,Ice,Fire,Water,,"Flying, Ground, Grass, Dragon, Bug, Steel, Ice","Water, Grass, Ice"
Ground,Ice,Water,"Water, Ice",,"Flying, Ground, Grass, Dragon, Rock, Fire","Water, Grass, Ice"
Ground,Ice,Grass,Ice,,"Flying, Ground, Grass, Dragon, Rock, Water","Water, Grass, Ice"
Ground,Ice,Electric,Ice,,"Flying, Ground, Grass, Dragon, Water","Water, Grass, Ice"
Ground,Ice,Psychic,"Water, Ice",,"Flying, Ground, Grass, Dragon, Fighting, Poison","Water, Grass, Ice"
Ground,Ice,,"Water, Ice",,"Flying, Ground, Grass, Dragon","Water, Grass, Ice"
Ground,Ice,Dragon,"Water, Ice",,"Flying, Ground, Grass, Dragon","Water, Grass, Ice"
Ground,Ice,Dark,"Water, Ice",,"Flying, Ground, Grass, Dragon, Ghost, Psychic","Water, Grass, Ice"
Ground,Ice,Fairy,"Water, Ice",,"Flying, Ground, Grass, Dragon, Fighting, Dark","Water, Grass, Ice"
Ground,Dragon,Normal,,"Water, Grass, Ice",Dragon,"Water, Grass, Ice"
Ground,Dragon,Fighting,,"Water, Grass","Dragon, Normal, Rock, Steel, Ice, Dark","Water, Grass, Ice"
Ground,Dragon,Flying,,"Water, Ice","Dragon, Fighting, Bug, Grass","Water, Grass, Ice"
Ground,Dragon,Poison,,"Water, Ice","Dragon, Grass, Fairy","Water, Grass, Ice"
Ground,Dragon,Ground,Grass,"Water, Ice","Dragon, Poison, Rock, Steel, Fire, Electric","Water, Grass, Ice"
Ground,Dragon,Rock,,"Water, Grass","Dragon, Flying, Bug, Fire, Ice","Water, Grass, Ice"
Ground,Dragon,Bug,,"Water, Ice","Dragon, Grass, Psychic, Dark","Water, Grass, Ice"
Ground,Dragon,Ghost,,"Water, Grass, Ice","Dragon, Ghost, Psychic","Water, Grass, Ice"
Ground,Dragon,Steel,Water,Grass,"Dragon, Rock, Ice, Fairy","Water, Grass, Ice"
Ground,Dragon,Fire,Water,,"Dragon, Bug, Steel, Grass, Ice","Water, Grass, Ice"
Ground,Dragon,Water,"Water, Grass",Ice,"Dragon, Ground, Rock, Fire","Water, Grass, Ice"
Ground,Dragon,Grass,Grass,Ice,"Dragon, Ground, Rock, Water","Water, Grass, Ice"
Ground,Dragon,Electric,Grass,Ice,"Dragon, Flying, Water","Water, Grass, Ice"
Ground,Dragon,Psychic,,"Water, Grass, Ice","Dragon, Fighting, Poison","Water, Grass, Ice"
Ground,Dragon,Ice,"Water, Ice",,"Dragon, Flying, Ground, Grass","Water, Grass, Ice"
Ground,Dragon,,,"Water, Grass, Ice",Dragon,"Water, Grass, Ice"
Ground,Dragon,Dark,,"Water, Grass, Ice","Dragon, Ghost, Psychic","Water, Grass, Ice"
Ground,Dragon,Fairy,,"Water, Grass, Ice","Dragon, Fighting, Dark","Water, Grass, Ice"
Ground,Dark,Normal,,"Water, Grass, Ice","Ghost, Psychic","Water, Grass, Ice"
Ground,Dark,Fighting,,"Water, Grass","Ghost, Psychic, Normal, Rock, Steel, Ice, Dark","Water, Grass, Ice"
Ground,Dark,Flying,,"Water, Ice","Ghost, Psychic, Fighting, Bug, Grass","Water, Grass, Ice"
Ground,Dark,Poison,,"Water, Ice","Ghost, Psychic, Grass, Fairy","Water, Grass, Ice"
Ground,Dark,Ground,Grass,"Water, Ice","Ghost, Psychic, Poison, Rock, Steel, Fire, Electric","Water, Grass, Ice"
Ground,Dark,Rock,,"Water, Grass","Ghost, Psychic, Flying, Bug, Fire, Ice","Water, Grass, Ice"
Ground,Dark,Bug,,"Water, Ice","Ghost, Psychic, Grass, Dark","Water, Grass, Ice"
Ground,Dark,Ghost,,"Water, Grass, Ice","Ghost, Psychic","Water, Grass, Ice"
Ground,Dark,Steel,Water,Grass,"Ghost, Psychic, Rock, Ice, Fairy","Water, Grass, Ice"
Ground,Dark,Fire,Water,,"Ghost, Psychic, Bug, Steel, Grass, Ice","Water, Grass, Ice"
Ground,Dark,Water,"Water, Grass",Ice,"Ghost, Psychic, Ground, Rock, Fire","Water, Grass, Ice"
Ground,Dark,Grass,Grass,Ice,"Ghost, Psychic, Ground, Rock, Water","Water, Grass, Ice"
Ground,Dark,Electric,Grass,Ice,"Ghost, Psychic, Flying, Water","Water, Grass, Ice"
Ground,Dark,Psychic,,"Water, Grass, Ice","Ghost, Psychic, Fighting, Poison","Water, Grass, Ice"
Ground,Dark,Ice,"Water, Ice",,"Ghost, Psychic, Flying, Ground, Grass, Dragon","Water, Grass, Ice"
Ground,Dark,Dragon,,"Water, Grass, Ice","Ghost, Psychic, Dragon","Water, Grass, Ice"
Ground,Dark,,,"Water, Grass, Ice","Ghost, Psychic","Water, Grass, Ice"
Ground,Dark,Fairy,,"Water, Grass, Ice","Ghost, Psychic, Fighting, Dragon, Dark","Water, Grass, Ice"
Ground,Fairy,Normal,,"Water, Grass, Ice","Fighting, Dragon, Dark","Water, Grass, Ice"
Ground,Fairy,Fighting,,"Water, Grass","Fighting, Dragon, Dark, Normal, Rock, Steel, Ice","Water, Grass, Ice"
Ground,Fairy,Flying,,"Water, Ice","Fighting, Dragon, Dark, Bug, Grass","Water, Grass, Ice"
Ground,Fairy,Poison,,"Water, Ice","Fighting, Dragon, Dark, Grass, Fairy","Water, Grass, Ice"
Ground,Fairy,Ground,Grass,"Water, Ice","Fighting, Dragon, Dark, Poison, Rock, Steel, Fire, Electric","Water, Grass, Ice"
Ground,Fairy,Rock,,"Water, Grass","Fighting, Dragon, Dark, Flying, Bug, Fire, Ice","Water, Grass, Ice"
Ground,Fairy,Bug,,"Water, Ice","Fighting, Dragon, Dark, Grass, Psychic","Water, Grass, Ice"
Ground,Fairy,Ghost,,"Water, Grass, Ice","Fighting, Dragon, Dark, Ghost, Psychic","Water, Grass, Ice"
Ground,Fairy,Steel,Water,Grass,"Fighting, Dragon, Dark, Rock, Ice, Fairy","Water, Grass, Ice"
Ground,Fairy,Fire,Water,,"Fighting, Dragon, Dark, Bug, Steel, Grass, Ice","Water, Grass, Ice"
Ground,Fairy,Water,"Water, Grass",Ice,"Fighting, Dragon, Dark, Ground, Rock, Fire","Water, Grass, Ice"
Ground,Fairy,Grass,Grass,Ice,"Fighting, Dragon, Dark, Ground, Rock, Water","Water, Grass, Ice"
Ground,Fairy,Electric,Grass,Ice,"Fighting, Dragon, Dark, Flying, Water","Water, Grass, Ice"
Ground,Fairy,Psychic,,"Water, Grass, Ice","Fighting, Dragon, Dark, Poison","Water, Grass, Ice"
Ground,Fairy,Ice,"Water, Ice",,"Fighting, Dragon, Dark, Flying, Ground, Grass","Water, Grass, Ice"
Ground,Fairy,Dragon,,"Water, Grass, Ice","Fighting, Dragon, Dark","Water, Grass, Ice"
Ground,Fairy,Dark,,"Water, Grass, Ice","Fighting, Dragon, Dark, Ghost, Psychic","Water, Grass, Ice"
Ground,Fairy,,,"Water, Grass, Ice","Fighting, Dragon, Dark","Water, Grass, Ice"
Rock,Unknown,,"Fighting, Ground, Steel, Water, Grass",,,"Fighting, Ground, Steel, Water, Grass"
Rock,Normal,,Steel,"Fighting, Ground, Water, Grass",,"Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Fighting,,"Fighting, Ground, Water, Grass","Normal, Rock, Steel, Ice, Dark","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Flying,Steel,"Ground, Water","Fighting, Bug, Grass","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Poison,"Steel, Ground","Fighting, Water","Grass, Fairy","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Ground,Grass,"Fighting, Ground, Water","Poison, Rock, Steel, Fire, Electric","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Rock,"Fighting, Ground, Steel","Water, Grass","Flying, Bug, Fire, Ice","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Bug,"Fighting, Steel","Ground, Water","Grass, Psychic, Dark","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Ghost,Steel,"Fighting, Ground, Water, Grass","Ghost, Psychic","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Steel,"Steel, Water","Fighting, Ground, Grass","Rock, Ice, Fairy","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Fire,Water,"Fighting, Ground","Bug, Steel, Grass, Ice","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Water,"Steel, Water, Grass",Fighting,"Ground, Rock, Fire","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Grass,"Steel, Grass",Fighting,"Ground, Rock, Water","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Electric,"Ground, Steel, Grass",Fighting,"Flying, Water","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Psychic,Steel,"Ground, Water, Grass","Fighting, Poison","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Ice,"Steel, Water",Fighting,"Flying, Ground, Grass, Dragon","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Dragon,Steel,"Fighting, Ground, Water, Grass",Dragon,"Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Dark,"Fighting, Steel","Ground, Water, Grass","Ghost, Psychic","Fighting, Ground, Steel, Water, Grass"
Rock,Normal,Fairy,Steel,"Ground, Water, Grass","Fighting, Dragon, Dark","Fighting, Ground, Steel, Water, Grass"
Rock,Fighting,Normal,,"Fighting, Ground, Water, Grass","Normal, Rock, Steel, Ice, Dark","Fighting, Ground, Steel, Water, Grass"
